gender,age_group,level_of_study,lecture_location,accommodation_type,faculty,off_campus_duration,room_category,annual_rent,includes_water,includes_electricity,includes_waste_disposal,has_running_water,has_extra_storage,has_wifi_internet,has_study_area,has_security_services,has_generator_backup_power,hostel_distance_minutes,commute_mode,room_size,furnished_bed,furnished_table,furnished_chairs,has_access_controls,has_janitorial_services,required_deposit,recent_rent_increase,avg_rent_nearby,hostel_location
Male,26-30,Post Graduate,Science,Private room(1 in a room),Faculty of Social Sciences,3 years or more,Full self contain,10000,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,Yes,Yes,6000,4000,9000,Ayensu
Female,16-20,Second year,Science,2 in a room,Faculty of Arts,Less than 6 months,Full self contain,3000,Yes,Yes,Yes,Yes,,,,,,1 - 10 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,,,2500,,3500,Kwaprow
Female,21-25,Third year,Science,2 in a room,School of Medical Sciences,Between a year and 2 years,Full self contain,4500,Yes,No,Yes,Yes,Yes,,,,,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,,,4500,0,4000,Kwaprow
Male,21-25,Second year,Science,Private room(1 in a room),Faculty of Social Sciences,6 months to 1 year,Shared washroom- self kitchen,,No,Yes,No,Yes,No,No,No,No,No,1 - 10 minutes walk,Walking,15 - 20 sqm,Yes,No,No,No,No,4000,1500,5000,Amamoma
Male,21-25,Second year,Science,2 in a room,Faculty of Arts,6 months to 1 year,Self washroom - shared kitchen,2500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,1000,2500,Kwesi Pra
Male,36-40,Post Graduate,Old Site,3 in a room,Faculty of Education,Between a year and 2 years,Shared washroom- shared kitchen,1500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,No,No,No,1000,300,1300,Apewosika
Female,16-20,Second year,Science,Private room(1 in a room),Faculty of Social Sciences,6 months to 1 year,Full self contain,4000,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,3000,1500,4000,Amamoma
Female,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2000,No,No,No,Yes,Yes,No,Yes,No,No,41 - 50 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,1000,500,2000,Apewosika
Female,21-25,Third year,Old Site,2 in a room,Home Science,Between a year and 2 years,Self washroom - shared kitchen,2500,No,No,No,Yes,No,No,Yes,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,1000,2000,Apewosika
Female,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,2500,No,No,No,Yes,No,No,Yes,No,No,21 - 30 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,800,3000,Ayensu
Male,21-25,Third year,Science,2 in a room,School of Physical Sciences,Between a year and 2 years,Self washroom - shared kitchen,2000,No,No,No,Yes,No,No,No,No,No,41 - 50 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,1500,500,2000,Apewosika
Male,31-35,Post Graduate,Science,Private room(1 in a room),School of Physical Sciences,6 months to 1 year,Full self contain,12000,No,No,No,Yes,,,,,,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,,,7000,,8000,Amamoma
Female,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,6 months to 1 year,Self washroom - shared kitchen,3000,No,No,No,Yes,,No,Yes,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,500,,Amamoma
Female,16-20,First year,Science,Private room(1 in a room),Law School,Less than 6 months,Full self contain,5500,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,1500,5000,Amamoma
Male,21-25,Second year,Science,Private room(1 in a room),Law School,6 months to 1 year,Full self contain,6000,Yes,No,Yes,No,No,Yes,Yes,Yes,No,31 - 40 minutes walk,Personal vehicle,20 - 30 sqm,Yes,Yes,Yes,No,No,4500,1000,5200,Ayensu
Female,26-30,Post Graduate,Science,Private room(1 in a room),Faculty of Education,3 years or more,Full self contain,4000,No,No,Yes,Yes,Yes,No,Yes,Yes,No,41 - 50 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,3000,1000,4000,Kwaprow
Female,16-20,First year,New Site,2 in a room,Faculty of Arts,6 months to 1 year,Self washroom - shared kitchen,2500,No,No,Yes,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,2500,Ayensu
Male,26-30,Fourth year,Science,3 in a room,School of Business,3 years or more,Self washroom - shared kitchen,1500,No,No,No,Yes,No,No,No,No,No,41 - 50 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,700,1500,Kwesi Pra
Female,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2000,No,No,No,Yes,No,No,No,No,No,21 - 30 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,2000,Amamoma
Female,21-25,Fourth year,Science,2 in a room,School of Business,3 years or more,Self washroom - shared kitchen,2000,No,No,No,Yes,Yes,No,No,No,No,41 - 50 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,1500,500,1800,Apewosika
Female,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2000,No,No,No,Yes,Yes,No,No,No,No,41 - 50 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,500,400,2400,Apewosika
Male,21-25,Fourth year,Science,2 in a room,School of Medical Sciences,3 years or more,Self washroom - shared kitchen,4000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41 - 50 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,4000,1000,4000,Kwaprow
Female,16-20,Second year,Science,2 in a room,Faculty of Education,6 months to 1 year,Self washroom - shared kitchen,2000,No,No,No,Yes,Yes,No,No,No,No,41 - 50 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1500,500,2000,Apewosika
